# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.022900000e+03    6.302680661e-04    1.319905502e+00    3.138836717e-04
2.023000000e+03    6.304181119e-04    1.319916427e+00    3.135311173e-04
2.023100000e+03    6.305680315e-04    1.319928345e+00    3.131372262e-04
2.023200000e+03    6.378681276e-04    1.319942905e+00    3.188901356e-04
2.023300000e+03    6.511681637e-04    1.319953823e+00    3.300432825e-04
2.023400000e+03    6.684683661e-04    1.319961328e+00    3.448369151e-04
2.023500000e+03    6.874684873e-04    1.319960239e+00    3.614729647e-04
2.023600000e+03    6.964686545e-04    1.319955230e+00    3.695214322e-04
2.023700000e+03    7.054686823e-04    1.319956877e+00    3.772930912e-04
2.023800000e+03    7.208688964e-04    1.319954615e+00    3.908250477e-04
2.023900000e+03    7.328689771e-04    1.319947141e+00    4.015976458e-04
2.024000000e+03    7.410691504e-04    1.319937319e+00    4.091427579e-04
2.024100000e+03    7.435191541e-04    1.319928106e+00    4.116323468e-04
2.024200000e+03    7.459692674e-04    1.319921701e+00    4.140054509e-04
2.024300000e+03    7.478692628e-04    1.319913871e+00    4.159562529e-04
2.024400000e+03    7.469693496e-04    1.319906439e+00    4.154417283e-04
2.024500000e+03    7.439692998e-04    1.319899782e+00    4.130584908e-04
